item,meta_index,meta_iterations,has_agent3_result,has_gt_validator,n_omissions,n_additions,n_additions_unsupported_by_transcript,n_additions_supported_by_transcript,n_additions_unknown_by_transcript,n_additions_supported_by_primekg,n_additions_unsupported_by_primekg,n_additions_unknown_by_primekg,n_additions_supported_by_transcript_or_primekg,n_additions_transcript_unsupported_primekg_supported,n_additions_unsupported_by_transcript_and_primekg,n_omissions_unsupported_by_transcript,n_hallucinations_or_unjustified_inferences,agent3_n_claims,agent3_n_unsupported_claims,agent3_unsupported_claim_rate,judge_overall_grade,agent3_accuracy_correct,agent3_accuracy_incorrect,agent3_accuracy_reason,agent3_accuracy_score,agent3_accuracy_total_claims,agent3_claim_verification_error,agent3_communication_quality_reason,agent3_communication_quality_score,agent3_communication_total_issues,agent3_completeness_captured,agent3_completeness_missing,agent3_completeness_reason,agent3_completeness_score,agent3_completeness_total_details,agent3_context_awareness_reason,agent3_context_awareness_score,agent3_context_captured,agent3_context_missing,agent3_context_total_details,agent3_instruction_complete_sections,agent3_instruction_following_reason,agent3_instruction_following_score,agent3_instruction_total_sections,agent3_overall_score,clinical_recall_all_gen_count,clinical_recall_all_gt_count,clinical_recall_all_n_gen_only,clinical_recall_all_n_gt_only,clinical_recall_all_n_overlap,clinical_recall_all_overlap_count,clinical_recall_all_recall,clinical_recall_labs_gen_count,clinical_recall_labs_gt_count,clinical_recall_labs_n_gen_only,clinical_recall_labs_n_gt_only,clinical_recall_labs_n_overlap,clinical_recall_labs_overlap_count,clinical_recall_labs_recall,clinical_recall_medications_gen_count,clinical_recall_medications_gt_count,clinical_recall_medications_n_gen_only,clinical_recall_medications_n_gt_only,clinical_recall_medications_n_overlap,clinical_recall_medications_overlap_count,clinical_recall_medications_recall,clinical_recall_symptoms_gen_count,clinical_recall_symptoms_gt_count,clinical_recall_symptoms_n_gen_only,clinical_recall_symptoms_n_gt_only,clinical_recall_symptoms_n_overlap,clinical_recall_symptoms_overlap_count,clinical_recall_symptoms_recall,entities_generated_n_all_entities,entities_generated_n_labs,entities_generated_n_medications,entities_generated_n_symptoms,entities_gt_n_all_entities,entities_gt_n_labs,entities_gt_n_medications,entities_gt_n_symptoms,gt_item,gt_validator_error,judge_overall_summary,n_addition_evidence_entries,n_section_grades_additions,n_section_grades_omissions,structural_assessment_alignment_score,structural_overall_rouge_l_f1,structural_overall_token_f1,structural_plan_alignment_score,structural_section_Assessment_gen_present,structural_section_Assessment_gt_present,structural_section_Assessment_rouge_l_f1,structural_section_Assessment_token_f1,structural_section_Objective_gen_present,structural_section_Objective_gt_present,structural_section_Objective_rouge_l_f1,structural_section_Objective_token_f1,structural_section_Plan_gen_present,structural_section_Plan_gt_present,structural_section_Plan_rouge_l_f1,structural_section_Plan_token_f1,structural_section_Subjective_gen_present,structural_section_Subjective_gt_present,structural_section_Subjective_rouge_l_f1,structural_section_Subjective_token_f1
item_0000,0,1,True,True,8.0,4.0,0.0,8.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,17,0,0.0,B,13,1,,0.93,14,,The communication quality score is low due to a single unclear sentence in the plan section.,0.5,1,15,2,,0.88,17,,0.67,4,2,6,3,The instruction following score is slightly below perfect due to an incomplete plan section.,0.75,4,0.81,17,25,5,13,12,12,0.48,9,8,1,0,8,8,1.0,1,1,0,0,1,1,1.0,4,13,1,10,3,3,0.23076923076923078,17,9,1,4,25,8,1,13,item_0000,,"The generated note is mostly clinically aligned and clearly usable. It accurately captures the chief complaint, history, objective findings, assessment, and plan. However, it has several minor omissions and a few moderate omissions, such as the detailed impact of pain on daily activities in the Subjective section and specific palpation findings in the Objective section. All additions present in the note are supported by the transcript and therefore do not negatively impact the grade.",8,4.0,8.0,0.5999999999999999,0.44883753288807937,0.6011702986279257,0.619047619047619,True,True,0.33333333333333337,0.5999999999999999,True,True,0.7049180327868853,0.761904761904762,True,True,0.43209876543209874,0.619047619047619,True,True,0.325,0.423728813559322
item_0001,1,1,True,True,18.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,22,0,0.0,C,22,2,,0.92,24,,The SOAP note contains one unclear sentence regarding the patient's job status and another unclear sentence about the patient's understanding of medical advice.,0.5,2,28,6,"The SOAP note is missing important details such as the patient's occupation, education level of their children, and any previous surgeries.",0.82,34,"The SOAP note is missing important context-specific details such as the patient's family history, previous diagnoses, and any relevant allergies or sensitivities.",0.75,9,3,12,4,"The SOAP note accurately includes all four sections (Subjective, Objective, Assessment, and Plan) and follows the correct instructions.",1.0,4,0.83,13,12,11,10,2,2,0.16666666666666666,2,1,2,1,0,0,0.0,1,1,1,1,0,0,0.0,3,8,1,6,2,2,0.25,13,2,1,3,12,1,1,8,item_0001,,"The note captures the chief complaint, history of present illness, and a reasonable assessment and plan. However, the Subjective section has significant omissions of critical medical and social history details, including tobacco/alcohol use, recreational activities, previous diagnoses, family medical history, medication history, allergies, chronic conditions, health literacy, job status, patient behavior, and specific geographical details. While the Objective section is nearly complete and the Assessment and Plan sections capture the core clinical reasoning and actions, the extensive gaps in the Subjective section make the note meaningfully incomplete and necessitate careful review and supplementation.",2,1.0,31.0,0.5,0.33559368191721134,0.4651222900020047,0.6601941747572815,True,True,0.4166666666666667,0.5,True,True,0.26666666666666666,0.26666666666666666,True,True,0.42962962962962964,0.6601941747572815,True,True,0.2294117647058824,0.4336283185840708
item_0002,2,1,True,True,7.0,4.0,2.0,4.0,0.0,0.0,6.0,0.0,4.0,0.0,2.0,2.0,2.0,18,1,0.05555555555555555,F,13,1,,0.93,14,,The doctor uses clear sentences but repeats some information and mentions quitting smoking as a separate point.,0.5,3,15,2,,0.88,17,,0.75,6,2,8,3,"The doctor completes three out of four sections, missing only the ""Assessment"" section.",0.75,4,0.82,20,22,8,10,12,12,0.5454545454545454,5,7,1,3,4,4,0.5714285714285714,1,2,0,1,1,1,0.5,9,8,4,3,5,5,0.625,20,5,1,9,22,7,2,8,item_0002,,"The generated note receives an overall grade of F primarily due to a severe, unsupported addition in the Objective section that directly contradicts the transcript regarding muscle strength. Stating 'decreased muscle strength' when the transcript clearly indicates '5/5 strength' introduces misleading and potentially unsafe clinical information. Additionally, the Subjective and Plan sections have numerous omissions, including patient demographics, a comprehensive Review of Systems, specific medication details, and important patient education and follow-up planning, further reducing the note's clinical utility and completeness.",6,4.0,29.0,0.5789473684210527,0.45337821031961106,0.5638130514003508,0.586046511627907,True,True,0.5365853658536585,0.5789473684210527,True,True,0.5762711864406779,0.7037037037037037,True,True,0.46601941747572806,0.586046511627907,True,True,0.23463687150837986,0.38655462184873945
item_0003,3,1,True,True,15.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,15,0,0.0,C,22,2,"The generated SOAP note accurately captured most medical claims, but incorrectly stated the patient's blood pressure as ""normal"" when it was actually reported as 130/80 mmHg.",0.92,24,,"The generated SOAP note contained unclear language (""I’m going to prescribe Acetaminophen 500 mg tablets"") and unnecessary repetition (""We’ll need an MRI to see the extent of the joint degeneration and check for any meniscal tears"").",0.5,2,14,1,"The generated SOAP note captured most important details, but missed the patient's age and ethnicity.",0.93,15,"The generated SOAP note captured some patient-specific details, but missed the patient's medical history.",0.83,5,1,6,3,"The generated SOAP note accurately completed three out of four SOAP sections (Subjective, Objective, Assessment, and Plan), but missed the ""Plan"" section by not including specific instructions for the patient.",0.75,4,0.84,15,34,8,27,7,7,0.20588235294117646,6,6,5,5,1,1,0.16666666666666666,1,3,1,3,0,0,0.0,8,14,3,9,5,5,0.35714285714285715,15,6,1,8,34,6,3,14,item_0003,,"The generated note has several significant omissions, particularly in the Subjective and Plan sections. Key missing information includes the patient's current medications, allergies, the entire Review of Systems, and the specific dosage frequency for Acetaminophen. While the core diagnosis and treatment plan are present, these omissions create noticeable gaps that make the note meaningfully incomplete and require careful review.",2,2.0,15.0,0.27272727272727276,0.3472114622570103,0.4454020426560472,0.5476190476190476,True,True,0.2222222222222222,0.27272727272727276,True,True,0.5050505050505051,0.6304347826086956,True,True,0.4176706827309236,0.5476190476190476,True,True,0.24390243902439027,0.33082706766917297
item_0004,4,1,True,True,18.0,7.0,0.0,14.0,0.0,0.0,12.0,2.0,14.0,0.0,0.0,1.0,0.0,17,0,0.0,D,13,1,,0.93,14,,"The doctor's language is clear, but there are a few instances of unnecessary repetition and missing structure.",0.5,2,12,3,,0.8,15,,0.75,6,2,8,3,"The doctor completes three out of four sections, but the assessment section is missing a clear explanation of the likely diagnosis.",0.75,4,0.81,20,32,6,18,14,14,0.4375,5,5,1,1,4,4,0.8,1,4,0,3,1,1,0.25,11,14,1,4,10,10,0.7142857142857143,20,5,1,11,32,5,4,14,item_0004,,"The generated SOAP note has significant omissions, particularly in the Subjective and Assessment sections. Key patient medical history, medication history, and allergy information are missing from the Subjective section. In the Assessment, the primary diagnosis is misaligned with the Ground Truth, presenting a differential diagnosis as the likely primary issue and omitting the link to osteoarthritis for the knee pain. The Plan also omits the explicit MRI order and patient understanding/compliance details. These issues materially reduce the clinical usefulness and introduce misleading content, warranting a D grade.",14,7.0,18.0,0.4,0.41024819713049937,0.5595971322278113,0.5838509316770185,True,True,0.21739130434782608,0.4,True,True,0.7474747474747474,0.8314606741573033,True,True,0.3876651982378855,0.5838509316770185,True,True,0.28846153846153844,0.4230769230769231
item_0005,5,1,True,True,20.0,0.0,,,,,,,,,,1.0,0.0,24,0,0.0,C,13,1,,0.93,14,,The doctor uses a clear and concise language but repeats some information.,0.5,2,12,3,,0.8,15,,0.75,6,2,8,3,"The doctor completes three out of four sections, missing only the subjective section.",0.75,4,0.81,17,30,6,19,11,11,0.36666666666666664,8,7,2,1,6,6,0.8571428571428571,1,2,1,2,0,0,0.0,5,17,1,13,4,4,0.23529411764705882,17,8,1,5,30,7,2,17,item_0005,,"The generated note presents noticeable gaps across multiple sections, leading to a meaningfully incomplete clinical document. Significant omissions include the patient's lower abdominal pain from the chief complaint and assessment reasoning, several important negative findings in the Review of Systems (e.g., hematuria, GI symptoms, and the full context of diabetes management), the documentation of a deferred genitourinary examination, and the complete differential diagnoses in the Assessment. Additionally, the patient education in the Plan section lacks specific signs and symptoms of worsening infection, which is a critical safety instruction. While the note is broadly usable, these issues necessitate caution and further review.",0,0.0,20.0,0.5428571428571429,0.38334926427992116,0.5158246460746461,0.5081081081081081,True,True,0.37037037037037035,0.5428571428571429,True,True,0.6785714285714285,0.7083333333333333,True,True,0.2992700729927007,0.5081081081081081,True,True,0.1851851851851852,0.304
item_0006,6,1,True,True,17.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16,0,0.0,D,13,1,,0.93,14,,"The doctor uses a somewhat formal tone and makes one unclear statement (""Is that bad?"").",0.5,2,12,3,,0.8,15,,0.75,6,2,8,3,"The doctor completes three out of four sections, but the assessment section is somewhat brief.",0.75,4,0.81,22,40,11,29,11,11,0.275,10,11,3,4,7,7,0.6363636363636364,1,2,1,2,0,0,0.0,10,13,5,8,5,5,0.38461538461538464,22,10,1,10,40,11,2,13,item_0006,,"The generated note has numerous omissions across all sections, particularly in the Subjective section (patient history, symptom severity) and Objective section (general appearance, lab status). Most critically, the Plan section omits the rationale for antibiotic choice (penicillin allergy) and vital patient safety instructions regarding worsening symptoms or medication side effects, which materially reduces the clinical usefulness and safety of the documentation.",1,1.0,17.0,0.25,0.30577817923499206,0.45184986886050155,0.5074626865671642,True,True,0.1875,0.25,True,True,0.5223880597014925,0.6428571428571428,True,True,0.2711864406779661,0.5074626865671642,True,True,0.24203821656050956,0.4070796460176992
item_0007,7,1,True,True,29.0,6.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,3.0,0.0,21,0,0.0,C,13,1,,0.93,14,,The SOAP note contains two unclear or confusing sentences that could be improved for better communication quality.,0.5,2,14,1,,0.93,15,,0.88,7,1,8,3,The SOAP note is mostly complete but lacks a clear plan for follow-up care after the initial treatment period.,0.75,4,0.86,19,30,7,18,12,12,0.4,7,14,2,9,5,5,0.35714285714285715,2,3,0,1,2,2,0.6666666666666666,6,13,3,10,3,3,0.23076923076923078,19,7,2,6,30,14,3,13,item_0007,,"The generated SOAP note receives an overall grade of C. While there are no unsupported or unknown additions, the note suffers from numerous omissions across the Subjective, Objective, and Plan sections. Key missing information includes the Chief Complaint, several negative Review of Systems findings, important negative physical exam findings, specific details of pending lab tests, and crucial medication quantities and detailed dosing instructions. These omissions create noticeable gaps, making the note meaningfully incomplete and requiring careful review.",12,6.0,29.0,0.33333333333333326,0.3590078119950407,0.45583632376395533,0.6184210526315789,True,True,0.33333333333333326,0.33333333333333326,True,True,0.4225352112676057,0.5625,True,True,0.4595744680851063,0.6184210526315789,True,True,0.22058823529411767,0.3090909090909091
item_0008,8,1,True,True,7.0,3.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,20,0,0.0,B,13,1,"The generated SOAP note accurately reports the patient's symptoms, vitals, and exam findings, but incorrectly states that the patient has flank pain.",0.93,14,,"The generated SOAP note contains unclear sentences (""Likely urinary tract infection (UTI)."") and unnecessary repetition (""...including urine culture and sensitivity test to identify the bacteria causing the infection and check for antibiotic resistance."").",0.5,3,13,2,"The generated SOAP note captures most of the important details, but misses the patient's age and ethnicity.",0.87,15,"The generated SOAP note captures some patient-specific details, but misses the patient's medical history and lifestyle information.",0.75,6,2,8,3,"The generated SOAP note completes three out of four sections (Subjective, Objective, Assessment, and Plan), but is missing a clear section for Instructions.",0.75,4,0.81,21,29,9,17,12,12,0.41379310344827586,6,6,2,2,4,4,0.6666666666666666,1,1,1,1,0,0,0.0,12,17,3,8,9,9,0.5294117647058824,21,6,1,12,29,6,1,17,item_0008,,"The generated SOAP note is mostly clinically aligned and clearly usable, accurately capturing the main clinical findings, assessment, and plan. However, it omits several minor details from the HPI and ROS, such as the specific frequency of urination and the impact on daily activities. A moderate omission is the entire ""Patient Agreements"" section. All additions made by the model are supported by the transcript and do not negatively impact the grade.",5,3.0,7.0,0.27272727272727276,0.4445668638371888,0.5429669681300159,0.5868263473053892,True,True,0.2608695652173913,0.27272727272727276,True,True,0.7397260273972603,0.8169014084507042,True,True,0.4398340248962656,0.5868263473053892,True,True,0.33783783783783783,0.4954128440366973
item_0009,9,1,True,True,16.0,4.0,0.0,6.0,0.0,0.0,5.0,1.0,6.0,0.0,0.0,1.0,0.0,15,0,0.0,B,13,1,,0.93,14,,"The SOAP note contains a single unclear sentence regarding the patient's symptoms, which could be improved for better clarity.",0.5,1,15,2,The SOAP note is missing details about the patient's occupation and family history.,0.88,17,The SOAP note is missing details about the patient's lifestyle and medical history.,0.89,8,1,9,3,The SOAP note is missing a clear plan for follow-up appointments.,0.75,4,0.86,21,18,11,8,10,10,0.5555555555555556,6,6,1,1,5,5,0.8333333333333334,2,1,1,0,1,1,1.0,9,7,7,5,2,2,0.2857142857142857,21,6,2,9,18,6,1,7,item_0009,,"The generated note is mostly clinically aligned and usable. It accurately captures the chief complaint, HPI, vital signs, physical exam findings, and the primary assessment and treatment plan. However, there are several minor omissions across all sections, and a few moderate omissions, including the patient's family history of UTIs and diabetes, and the explicit mention of awaiting urine culture results for antibiotic sensitivity in both the Objective and Plan sections. No unsupported or unknown additions were found that would lower the grade.",6,4.0,16.0,0.24999999999999994,0.3891082356999578,0.4845489680399434,0.5522388059701493,True,True,0.24999999999999994,0.24999999999999994,True,True,0.608695652173913,0.6744186046511628,True,True,0.3855421686746988,0.5522388059701493,True,True,0.3121951219512195,0.46153846153846156
