item,meta_index,meta_iterations,has_agent3_result,has_gt_validator,n_omissions,n_additions,n_additions_unsupported_by_transcript,n_additions_supported_by_transcript,n_additions_unknown_by_transcript,n_additions_supported_by_primekg,n_additions_unsupported_by_primekg,n_additions_unknown_by_primekg,n_additions_supported_by_transcript_or_primekg,n_additions_transcript_unsupported_primekg_supported,n_additions_unsupported_by_transcript_and_primekg,n_omissions_unsupported_by_transcript,n_hallucinations_or_unjustified_inferences,agent3_n_claims,agent3_n_unsupported_claims,agent3_unsupported_claim_rate,judge_overall_grade,agent3_accuracy_correct,agent3_accuracy_incorrect,agent3_accuracy_reason,agent3_accuracy_score,agent3_accuracy_total_claims,agent3_claim_verification_error,agent3_communication_quality_reason,agent3_communication_quality_score,agent3_communication_total_issues,agent3_completeness_captured,agent3_completeness_missing,agent3_completeness_reason,agent3_completeness_score,agent3_completeness_total_details,agent3_context_awareness_reason,agent3_context_awareness_score,agent3_context_captured,agent3_context_missing,agent3_context_total_details,agent3_instruction_complete_sections,agent3_instruction_following_reason,agent3_instruction_following_score,agent3_instruction_total_sections,agent3_overall_score,clinical_recall_all_gen_count,clinical_recall_all_gt_count,clinical_recall_all_n_gen_only,clinical_recall_all_n_gt_only,clinical_recall_all_n_overlap,clinical_recall_all_overlap_count,clinical_recall_all_recall,clinical_recall_labs_gen_count,clinical_recall_labs_gt_count,clinical_recall_labs_n_gen_only,clinical_recall_labs_n_gt_only,clinical_recall_labs_n_overlap,clinical_recall_labs_overlap_count,clinical_recall_labs_recall,clinical_recall_medications_gen_count,clinical_recall_medications_gt_count,clinical_recall_medications_n_gen_only,clinical_recall_medications_n_gt_only,clinical_recall_medications_n_overlap,clinical_recall_medications_overlap_count,clinical_recall_medications_recall,clinical_recall_symptoms_gen_count,clinical_recall_symptoms_gt_count,clinical_recall_symptoms_n_gen_only,clinical_recall_symptoms_n_gt_only,clinical_recall_symptoms_n_overlap,clinical_recall_symptoms_overlap_count,clinical_recall_symptoms_recall,entities_generated_n_all_entities,entities_generated_n_labs,entities_generated_n_medications,entities_generated_n_symptoms,entities_gt_n_all_entities,entities_gt_n_labs,entities_gt_n_medications,entities_gt_n_symptoms,gt_item,gt_validator_error,judge_overall_summary,n_addition_evidence_entries,n_section_grades_additions,n_section_grades_omissions,structural_assessment_alignment_score,structural_overall_rouge_l_f1,structural_overall_token_f1,structural_plan_alignment_score,structural_section_Assessment_gen_present,structural_section_Assessment_gt_present,structural_section_Assessment_rouge_l_f1,structural_section_Assessment_token_f1,structural_section_Objective_gen_present,structural_section_Objective_gt_present,structural_section_Objective_rouge_l_f1,structural_section_Objective_token_f1,structural_section_Plan_gen_present,structural_section_Plan_gt_present,structural_section_Plan_rouge_l_f1,structural_section_Plan_token_f1,structural_section_Subjective_gen_present,structural_section_Subjective_gt_present,structural_section_Subjective_rouge_l_f1,structural_section_Subjective_token_f1
item_0000,0,1,True,True,5.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,3.0,0.0,25,0,0.0,B,13,1,,0.93,14,,"The doctor used clear and concise language, but there were a few instances of unnecessary repetition.",0.5,3,15,2,,0.88,17,,0.88,7,1,8,3,"The doctor partially followed the SOAP note format, missing a brief summary section.",0.75,4,0.86,22,25,11,14,11,11,0.44,7,8,3,4,4,4,0.5,1,1,0,0,1,1,1.0,13,13,9,9,4,4,0.3076923076923077,22,7,1,13,25,8,1,13,item_0000,,"The generated SOAP note is mostly clinically aligned and clearly usable. It accurately captures the chief complaint, key history, physical findings, assessment, and plan. However, it omits several specific details from the Ground Truth, particularly regarding the characteristics of swelling and stiffness, the impact on daily activities, and specific physical examination findings like the exact location of tenderness and negative stability tests. The note also omits 'Pain in the left knee' as a distinct problem in the Assessment. All additions made by the model were supported by the transcript, and there were no unsupported or unknown additions that would significantly lower the grade.",7,7.0,12.0,0.4736842105263158,0.4129363245257752,0.6086225178330442,0.7179487179487181,True,True,0.2926829268292683,0.4736842105263158,True,True,0.6495726495726496,0.7428571428571429,True,True,0.3973509933774835,0.7179487179487181,True,True,0.31213872832369943,0.5
item_0001,1,1,True,True,7.0,2.0,0.0,21.0,0.0,3.0,14.0,4.0,21.0,0.0,0.0,0.0,0.0,24,0,0.0,B,22,2,"The SOAP note accurately captured most medical claims, but missed one claim about the patient's previous smoking history.",0.92,24,,The SOAP note had no communication issues.,1.0,2,28,6,"The SOAP note captured most important details, but missed symptoms such as ""occasional knee locking"" and ""insomnia due to pain"".",0.82,34,"The SOAP note captured most patient-specific details, but missed some important context such as the patient's job status and education level.",0.8,12,3,15,4,The SOAP note followed all 4 sections correctly.,1.0,4,0.86,15,12,12,9,3,3,0.25,2,1,2,1,0,0,0.0,2,1,2,1,0,0,0.0,4,8,3,7,1,1,0.125,15,2,2,4,12,1,1,8,item_0001,,"The generated note is mostly clinically aligned and usable. It accurately captures the chief complaint, history of present illness, and core assessment and plan. However, it has several minor omissions, including recreational drug use, hobbies, patient motivation, and the reason for no physical exam. More significantly, the Plan section omits the specific frequency for Acetaminophen and the detailed follow-up schedule, which are important for patient care. While much of the Ground Truth's Subjective content was structurally moved to the Objective section, the information is still present in the note. There are no unsupported or unknown additions.",21,19.0,23.0,0.42424242424242425,0.21816502463054188,0.31453712381547433,0.5555555555555556,True,True,0.28571428571428575,0.42424242424242425,True,True,0.0,0.0,True,True,0.4655172413793104,0.5555555555555556,True,True,0.12142857142857141,0.2783505154639175
item_0002,2,2,True,True,14.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0,24,0,0.0,C,22,2,,0.92,24,,"The doctor uses a clear and professional tone, but there is one instance of unnecessary repetition.",0.5,1,15,2,,0.88,17,,0.88,7,1,8,3,"The doctor completes three out of four sections, missing only the ""Assessment"" section.",0.75,4,0.86,17,22,6,11,11,11,0.5,5,7,1,3,4,4,0.5714285714285714,1,2,0,1,1,1,0.5,7,8,3,4,4,4,0.5,17,5,1,7,22,7,2,8,item_0002,,"The note presents noticeable gaps in the Subjective and Plan sections. Key omissions include details on the patient's medical history (hypertension, chronic back pain), the impact of pain on daily life, and important patient education regarding diet and smoking cessation. A significant contingency plan for specialist referral is also omitted. Additionally, there is a misplaced detail about ""mild distress"" in the Subjective section and a minor redundant phrase in the Plan. While the Objective and Assessment sections are well-captured, the overall incompleteness in other critical areas makes the note usable with caution and review.",3,2.0,14.0,0.5789473684210527,0.4503152369408821,0.5615486887951586,0.5416666666666667,True,True,0.55,0.5789473684210527,True,True,0.65625,0.7678571428571428,True,True,0.3884892086330935,0.5416666666666667,True,True,0.2065217391304348,0.3577235772357723
item_0003,3,1,True,True,12.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,23,0,0.0,C,22,2,"The SOAP note accurately captured most medical claims, but incorrectly stated the patient's pain level as ""moderate to severe"" instead of ""moderate"".",0.92,24,,There were no communication issues in the SOAP note.,1.0,1,15,2,"The SOAP note captured most important details, but missed the patient's age and ethnicity.",0.88,17,"The SOAP note captured most patient-specific details, but missed the patient's occupation and medical history.",0.83,5,1,6,4,All four SOAP sections were present and correct in the SOAP note.,1.0,4,0.86,20,34,10,24,10,10,0.29411764705882354,6,6,5,5,1,1,0.16666666666666666,1,3,0,2,1,1,0.3333333333333333,7,14,3,10,4,4,0.2857142857142857,20,6,1,7,34,6,3,14,item_0003,,"The generated note has several noticeable gaps, particularly in the Subjective and Plan sections. Key omissions include patient medications, allergies, detailed HPI context, and comprehensive ROS in the Subjective section. The Plan section also omits important details regarding patient education and agreement. While the Objective and Assessment sections are largely accurate, the significant omissions in other critical areas reduce the overall clinical usefulness and completeness of the note, making it usable with caution and requiring review.",3,3.0,14.0,0.43137254901960786,0.38402948001438053,0.4916014320290102,0.5325443786982249,True,True,0.2903225806451613,0.43137254901960786,True,True,0.5904761904761906,0.6122448979591837,True,True,0.39999999999999997,0.5325443786982249,True,True,0.2553191489361702,0.39024390243902435
item_0004,4,1,True,True,8.0,6.0,0.0,11.0,0.0,0.0,7.0,4.0,11.0,0.0,0.0,1.0,0.0,15,0,0.0,D,13,1,,0.93,14,,"The doctor uses a somewhat formal tone and repeats some information, but overall the communication is clear.",0.5,3,15,2,,0.88,17,,0.89,8,1,9,3,"The doctor completes three out of four sections, but the subjective section is somewhat brief.",0.75,4,0.88,21,32,9,20,12,12,0.375,5,5,2,2,3,3,0.6,1,4,0,3,1,1,0.25,11,14,3,6,8,8,0.5714285714285714,21,5,1,11,32,5,4,14,item_0004,,"The generated SOAP note contains significant omissions, including critical patient history such as Past Medical History (Osteoarthritis, Hypertension), Medication History (Lisinopril, OTC NSAIDs), and Allergies (NKDA). Furthermore, the primary diagnosis of ""Left knee pain, most likely exacerbated by underlying osteoarthritis"" is missing from the Assessment section. These major omissions materially reduce the clinical usefulness and completeness of the note. All additions are supported by the transcript and do not negatively impact the grade.",11,6.0,17.0,0.3684210526315789,0.3814043008827517,0.5296459267883437,0.5534591194968553,True,True,0.2051282051282051,0.3684210526315789,True,True,0.6938775510204082,0.7816091954022988,True,True,0.319634703196347,0.5534591194968553,True,True,0.3069767441860465,0.41509433962264153
item_0005,5,3,True,True,18.0,0.0,,,,,,,,,,2.0,0.0,17,0,0.0,B,13,1,,0.93,14,,"The communication quality score is low due to the presence of two unclear or confusing sentences (""It sounds like you might have a urinary tract infection"" and ""Given your symptoms, history of recurrent UTIs, and diabetes"").",0.5,2,14,1,,0.93,15,,0.83,5,1,6,3,"The instruction following score is low because one section (the plan) is missing a clear explanation of the patient's treatment plan, although it is present in the transcript.",0.75,4,0.82,22,30,9,17,13,13,0.43333333333333335,7,7,1,1,6,6,0.8571428571428571,2,2,2,2,0,0,0.0,10,17,1,8,9,9,0.5294117647058824,22,7,2,10,30,7,2,17,item_0005,,"The generated SOAP note is mostly clinically aligned and clearly usable. It accurately captures the core clinical picture, including the chief complaint, key HPI elements, vital signs, physical exam findings, diagnosis, and treatment plan. However, there are several minor and a few moderate omissions across all sections, particularly in the detailed HPI, differential diagnoses, and the patient agreements section, which reduce the completeness of the note.",0,0.0,18.0,0.44827586206896547,0.4372385418271924,0.5243215784616612,0.4795321637426901,True,True,0.4,0.44827586206896547,True,True,0.5765765765765766,0.6391752577319588,True,True,0.3700787401574803,0.4795321637426901,True,True,0.40229885057471265,0.5303030303030303
item_0006,6,1,True,True,25.0,3.0,0.0,6.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,4.0,0.0,25,0,0.0,C,13,1,"The generated SOAP note accurately reports the patient's symptoms, vital signs, and exam findings, but incorrectly states that the patient has a history of hypertension.",0.93,14,,"The generated SOAP note contains unclear sentences (""The patient also mentions issues with healthcare access."") and unnecessary repetition (""We discussed the importance of adhering to your medication..."").",0.5,2,14,1,"The generated SOAP note captures most of the important details from the RAW TRANSCRIPT, but misses the patient's age and ethnicity.",0.93,15,"The generated SOAP note captures some patient-specific details, but misses the patient's lifestyle and occupation.",0.83,5,1,6,3,"The generated SOAP note completes three out of four sections (Subjective, Objective, Assessment, and Plan), but is missing a clear section for ""Diagnosis"".",0.75,4,0.84,21,40,8,27,13,13,0.325,8,11,3,6,5,5,0.45454545454545453,1,2,1,2,0,0,0.0,10,13,4,7,6,6,0.46153846153846156,21,8,1,10,40,11,2,13,item_0006,,"The generated note provides a generally accurate summary of the patient's visit. However, it has noticeable gaps, particularly in the Subjective section where crucial patient history (age, race, sex, hypertension, Type 2 diabetes) is omitted. The Plan section also suffers from multiple moderate omissions, including the clinical rationale for medication choice (penicillin allergy) and detailed patient safety instructions for worsening symptoms. While the Objective and Assessment sections are strong, these significant omissions make the note meaningfully incomplete and require careful review.",6,3.0,25.0,0.27027027027027023,0.32263946883705585,0.4601507955490256,0.5142857142857142,True,True,0.21621621621621623,0.27027027027027023,True,True,0.5857142857142857,0.6666666666666666,True,True,0.2734375,0.5142857142857142,True,True,0.2151898734177215,0.3893805309734514
item_0007,7,1,True,True,23.0,4.0,0.0,8.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,2.0,0.0,21,0,0.0,C,14,1,,0.93,15,,The SOAP note contains unclear sentences and unnecessary repetition of information.,0.5,2,20,3,"The SOAP note is missing important details such as the patient's age, gender, and ethnicity.",0.87,23,"The SOAP note is missing patient-specific details such as the patient's occupation, medical history, and lifestyle.",0.75,6,2,8,3,The SOAP note is missing a clear plan for follow-up care.,0.75,4,0.81,20,30,8,18,12,12,0.4,7,14,2,9,5,5,0.35714285714285715,2,3,0,1,2,2,0.6666666666666666,5,13,4,12,1,1,0.07692307692307693,20,7,2,5,30,14,3,13,item_0007,,"The generated SOAP note is usable but has noticeable gaps, particularly in the Subjective and Objective sections. Key omissions include the full Review of Systems, specific details from the History of Present Illness (e.g., urination frequency, impact on sleep), comprehensive negative physical exam findings, and crucial information about pending urinalysis results. The Plan section also omits specific medication dosage forms and quantities. All identified additions were supported by the transcript and did not negatively impact the grade.",8,4.0,23.0,0.2727272727272727,0.32778725185135754,0.41709922052444126,0.6037735849056604,True,True,0.2727272727272727,0.2727272727272727,True,True,0.4328358208955224,0.5166666666666667,True,True,0.4426229508196721,0.6037735849056604,True,True,0.16296296296296295,0.27522935779816515
item_0008,8,1,True,True,14.0,6.0,2.0,10.0,0.0,2.0,10.0,0.0,10.0,0.0,2.0,0.0,2.0,16,0,0.0,C,13,1,"The generated SOAP note accurately reports the patient's symptoms, vitals, and physical exam findings but incorrectly states that the patient denies having chills.",0.93,14,,"The generated SOAP note contains a single unclear sentence where the doctor asks if the pain is rated as 7 or 8 out of 10, which could be confusing for the patient.",0.5,1,13,2,"The generated SOAP note captures most of the important details from the RAW TRANSCRIPT, but it is missing information about the patient's lifestyle and occupation.",0.87,15,"The generated SOAP note captures some patient-specific details but is missing information about the patient's age, gender, ethnicity, and medical history.",0.67,4,2,6,3,"The generated SOAP note completes three out of four sections (Subjective, Objective, Assessment, and Plan) but is missing a clear section for Instructions.",0.75,4,0.81,23,29,10,16,13,13,0.4482758620689655,6,6,2,2,4,4,0.6666666666666666,1,1,1,1,0,0,0.0,13,17,4,8,9,9,0.5294117647058824,23,6,1,13,29,6,1,17,item_0008,,"The generated note provides a mostly accurate clinical picture but contains several omissions and one unsupported addition that reduce its overall completeness and reliability. The Subjective section includes an unsupported addition describing blood in urine as 'occasional,' which is not supported by the transcript and could be misleading. Additionally, the Subjective and Plan sections have multiple omissions, including specific details about the patient's symptoms and the entire 'Patient Agreements' section, which is crucial for documenting patient understanding and adherence to the treatment plan. These issues make the note meaningfully incomplete and require careful review.",12,6.0,14.0,0.23529411764705882,0.4175000570986547,0.5126928224336001,0.5675675675675675,True,True,0.2105263157894737,0.23529411764705882,True,True,0.6923076923076923,0.7733333333333334,True,True,0.39449541284403666,0.5675675675675675,True,True,0.37267080745341613,0.4745762711864407
item_0009,9,1,True,True,10.0,6.0,0.0,12.0,0.0,0.0,4.0,8.0,12.0,0.0,0.0,0.0,0.0,19,0,0.0,B,13,1,,0.93,14,,"The SOAP note contains unclear sentences, unnecessary repetition, and missing structure.",0.5,3,15,2,,0.88,17,,0.78,7,2,9,3,The SOAP note is missing a clear plan section.,0.75,4,0.82,20,18,11,9,9,9,0.5,5,6,0,1,5,5,0.8333333333333334,3,1,3,1,0,0,0.0,6,7,4,5,2,2,0.2857142857142857,20,5,3,6,18,6,1,7,item_0009,,"The generated SOAP note is mostly clinically aligned and usable, accurately capturing the chief complaint, diagnosis, and primary treatment plan. However, it has several omissions across the Subjective, Objective, and Plan sections. These include specific details about the severity of the patient's pain, family history, specific dietary habits, the pending urine culture results, and detailed patient education regarding diabetes management. All additions present in the note were supported by the transcript and therefore did not negatively impact the grade.",12,6.0,10.0,0.06896551724137931,0.3463537966022817,0.459626010801295,0.5859872611464967,True,True,0.06896551724137931,0.06896551724137931,True,True,0.5454545454545454,0.6326530612244897,True,True,0.40816326530612246,0.5859872611464967,True,True,0.36283185840707965,0.5508982035928144
